context,first_c,second_c
000机动公交车和轿车相撞。多人伤重，（已通知120，如民警到场不需要救护车，请致电120或110）请民警到场处理。内线：22643,救援,(交通事故)
路过：轿车翻车 车内情况不详 通知消防 120,救援,(交通事故)
4辆货车，1辆轿车相撞。有人伤被卡车内，已通知消防，请民警到场处理。 （已通知120，如民警到场无需急救车，请致电120或110。）（内线：22645）,救援,(交通事故)
货车与自行车相撞，1人被压货车下，请民警到场处理。（已通知120，如民警到场不需要，请致电120或110）,救援,(交通事故)
1110路公交车和车辆碰擦，驾驶员被卡，请民警到场处理。（已通知卫生局，若民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
SUV和自行车相撞， 1人被卷在车底,救援,(交通事故)
轿车翻车，有几个人倒在地上，（已通知120，如民警到场不需要，请致电120或110）请民警到场处理。,救援,(交通事故)
路人报：1越野车侧翻，情况不明。已通知消防、120备勤。,救援,(交通事故)
报警人称看到一土方车把一女子压在车下，请民警到场处理。（已通知卫生局消防，若民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
轿车电瓶车相撞。1人卡在车底，出不来 （已通知120，如民警到场不需要，请致电120或110）已经通知消防,救援,(交通事故)
路人报上址一轿车撞到桥桩，翻车，人未出来，（已通知120到场，如不需要救护车，请民警电告120或110。）请民警到场处理。（通知消防） ,救援,(交通事故)
路人报：面包车侧翻，人伤不详，占用一根车道，不影响交通，（已通知卫生局，若民警到场确认不需急救车，请致电120或110）请民警到场处理。,救援,(交通事故)
路人报 一货车侧翻到田里，人还没出来，请民警到场处理。（已通知120，如民警到场不需要，请致电120或110）,救援,(交通事故)
称其发生交通事故，脚被卡，（称被夹断），具体情况不明，（已经通知120，如不需要救护车，请致电120或110）消防共同接听，自动中断，请民警到场处理。,救援,(交通事故)
2轿车相碰，车子变形，2人在车里还没有出来，车辆变形，请民警到场处理。（已通知120，若民警到场确认不需急救车，请致电120或110。）,救援,(交通事故)
两辆轿车相撞。两车事故，一车侧翻，有1人员被困现昏迷。请民警到场处理。(已通知120，如民警到场无需救护车，请致电110或120）,救援,(交通事故)
轿车单车事故，翻车，里面可能有人，影响1根车道，请到场处理。旁人报,救援,(交通事故)
大卡车、电瓶车相碰。  1人被压在卡车下面、另1人可能已死亡。已通知卫生局，如民警到场无需救护，请致电１２０或１１０． （已通知消防）,救援,(交通事故)
2货车相碰，人伤（头受伤，人清醒），脚卡住。190号14：26,救援,(交通事故)
过路司机：面包车，轿车相撞。且面包车翻车，有人困，且影响3个车道，人伤不明，请民警到场处理。（已通知120，如民警到场不需要，请致电120或110）,救援,(交通事故)
2集卡相撞，1人被卡，无人伤，请民警到场处理。已通知消防,救援,(交通事故)
面包车、烧水车相撞。1人被卡，人伤无需救护车，请民警到场处理。（内线：22679）,救援,(交通事故)
2吨的卡车侧翻，装有黄沙，人员不详，请民警到场处理。（已通知120，如果民警到场确认无需救护，请联系120或者110）已通知消防,救援,(交通事故)
"路人报警：土方车和电瓶车相撞。1人可能已经死亡，且被压在车下，已通知120,如民警到场确认无需急救车，请致电120或110。已经通知消防",救援,(交通事故)
路人报，发现上址有1集卡侧翻，司机情况不明，请民警到场处理。（已通知卫生局，若民警到场确认不需急救车，请致电120或110）已通知消防,救援,(交通事故)
路人报：货车和轿车相撞，货物砸到轿车上，人伤情况不明，疑似人被卡，请民警到场处理。,救援,(交通事故)
货车和依维柯相撞，1人被卡，人还清醒的，请民警到场处理。已通知120，若民警到场无需120，请电告110或120.已通知消防,救援,(交通事故)
过路司机报：2轿车相碰，挺严重的，具体不明，1辆车可能已经越过隔离带到对面车道，人员不明，请民警到场处理。（已经通知120，如不需要救护车，请致电120或110）已通知消防,救援,(交通事故)
轿车和摩托车相撞。人无伤，人员被困车内，请民警到场处理。（消防共同接听）,救援,(交通事故)
"路人报：轿车单车事故，人员不明，车损严重，请民警到场处理。已通知120,如民警到场确认无需急救车，请致电120或110。",救援,(交通事故)
卡车 轿车 相撞，称共3人受伤，都需要救护车（已通知卫生局，如民警到场后确定无需救护车，请自行致电120或者110）请民警到场处理。,救援,(交通事故)
141路公交车撞行人，一人被压车下，请民警到场处理。(已通知卫生局，如民警到场确认不用120，请自行通知120或110),救援,(交通事故)
集卡发生单车事故。驾驶室掉在地上，应该有卡人，请民警到场处理。（22679）（已通知120，如民警到场不需要，请致电120或110）,救援,(交通事故)
"路人报 货车侧翻 有人叫喊 （已通知120,如民警到场确认无需急救车，请致电120或110。）已通知消防",救援,(交通事故)
消防共听  白色轿车翻车 已通知120，如民警到场确认无需急救车，请致电120。,救援,(交通事故)
面包车翻车，还有1大人（50多岁）1名5岁小孩未出来，报警人系其中1名乘客已出来，不影响交通，（已通知120，如民警到场不需要，请致电120或110）,救援,(交通事故)
3辆大货车相撞。其中1人被卡在车内（已经通知120，如不需要救护车，请致电120或110）车辆都靠边了，不影响交通，请民警到场处理。,救援,(交通事故)
三车事故：1警车（机场分局，沪A0569警，无任务）与2轿车相撞，无人伤，1轿车门打不开，男司机被困车内，肢体未被卡，影响2车道，均需要拖车救援，请民警到场处理。 ,救援,(交通事故)
过路司机报：1蓝色货车翻车，具体不明，（已通知120，如果民警到场确认无需救护，请联系120或者110）,救援,(交通事故)
路人报看到1轿车撞倒隔离带，车头受损严重，人趴在方向盘上，情况不明（已通知120，如果民警到场确认无需救护，请联系120或者110）,救援,(交通事故)
发现港池内有辆车，内人员情况不明，报警人系园区工作人员，刚过来交接班发现，请民警到场处理。已通知消防,救援,(交通事故)
2辆轿车相撞。1人脚被卡，（已通知120，如民警到场不需要，请致电120或110）已经通知消防，请民警到场处理。,救援,(交通事故)
轿车侧翻，一个人在车内出不来，请民警到场处理。（已通知120 ，如民警到场无需救护车，请致电110或120。）,救援,(交通事故)
一辆轿车翻入沟内，2人在车内还未出来。（已通知120，如民警到场不需要救护车，请致电120或110）,救援,(交通事故)
货车与面包车相撞，面包车内1人伤被困（已通知120，如到场无需救护，请致电120）（已通知消防）,救援,(交通事故)
路人报：上址SUV侧翻，人员情况不明(已通知120到场，如不需要救护车，请民警电告120或110)，请民警到场处理,救援,(交通事故)
货车与轿车相撞，1人卡在车里，人清醒的，请民警到场处理。,救援,(交通事故)
2辆货车相撞 两车事故，人伤（1人伤 ），未撤离 宝山民警已到场，称1人死亡，身体有残留部分在车内需要消防到场帮助,救援,(交通事故)
货车运送水泥墩，撞到隔离带，水泥墩冲到驾驶室去了，人伤不详，请民警到场处理。,救援,(交通事故)
路人报警 称上址有一轿车全翻  车内有人  (已通知120，若民警到场无需120，请电告110或120)  请民警到场处理。  ,救援,(交通事故)
集卡和商务车相撞。一人被卡，请民警到场处理。 (已通知120，如民警到场无需救护车，请至电110或120）,救援,(交通事故)
4辆轿车相撞，四车事故， 一辆轿车全翻， 有人在车内，请民警到场处理。 （已通知卫生局，若民警到场确认不需急救车，请致电120或110） 已通知消防,救援,(交通事故)
路人报：轿车单车事故 撞坏护栏 车损严重 未看到有人出来 请民警到场处理。已通知消防 （已通知卫生局，若民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
两卡车相撞。一人重伤卡在车内出不来，需要救护车，请民警到场处理。（已通知120，如民警到场无需急救车，请致电120或110。）,救援,(交通事故)
轿车翻车  一个人被卡   且漏油 （已通知120，如民警到场无需急救车，请致电120或110。）,救援,(交通事故)
过路司机报卡车拖着的铲车掉下，导致铲车撞到对面的轿车，轿车司机被困，且头部受伤，已通知消防，(已通知120，如民警到场无需救护车，请至电110或120）,救援,(交通事故)
面包车轿车 相撞。 面包车司机1人被卡 已通知120，若民警到场无需120，请电告110或120.请民警到场处理。,救援,(交通事故)
轿车抛锚，在漏油，可能会爆炸有安全隐患。,救援,(交通事故)
路人报警，搅拌车侧翻，车内有人，请民警到场处理。（已通知卫生局，如民警到场确认不用120，请自行通知120或110）,救援,(交通事故)
旁人：轿车单车事故（撞到树），1人被卡车内（已通知120，如民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
轿车单车事故（皖SK2086） 人员不明 （已通知120，如果民警到场确认无需救护，请联系120或者110）,救援,(交通事故)
货车和工程车相撞。报警人被方向盘卡住，人轻伤，请民警到场处理。（请民警注意自身安全。）消防共同接听,救援,(交通事故)
货车和出租车相撞。2人卡住，请民警到场处理。（已通知卫生局，若民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
追尾 交通事故，人被卡（已通知120，如民警到场无需急救车，请致电120或110。）,救援,(交通事故)
路人报上址依维柯翻车，人未出来，人数不明，请民警到场处理。(已通知120，如民警到场无需救护车，请至电110或120）,救援,(交通事故)
卡车司机报警，电瓶车和卡车相碰，1人伤，无意识，人压在车底，需救护，请民警到场处理。（已通知120，如民警到场无需急救车，请致电120或110。）,救援,(交通事故)
2卡车相撞。1人伤，报警人称有人被卡，请民警到场处理。（已通知120，如果民警到场确认无需救护，请联系120或者110）,救援,(交通事故)
3车(出租车和2轿车)事故，无人伤，影响一根车道，一辆车无法移动，并且车头冒白烟，请民警到场处理。HD250 ,救援,(交通事故)
路人报，1辆轿车撞到隔离带，人在里面，情况不明，请民警到场处理。(已通知120，如民警到场无需救护车，请至电110或120）,救援,(交通事故)
救护车司机：救护车，出租车和2轿车相撞、请民警到场处理。一病人不出来，（已通知120 ，如民警到场无需救护车，请致电110或120。）,救援,(交通事故)
路人报：2轿车相撞，有人伤（人数不清），其余不明，已通知消防，（已通知１２０，如民警到场无需１２０，请致电１２０或１１０）,救援,(交通事故)
事故一人腿被卡，请民警到场处理。(已通知120，若民警到场无需120，请电告110或120.),救援,(交通事故)
路人报：称经过上址看到别克GL8横在路中间 车辆撞上隔离栏 车头损坏很严重 具体人员情况不明，请民警到场处理。已通知消防,救援,(交通事故)
2货车相撞，报警人称其车门被撞坏，现车内共两人出不去，请民警到场处理。通知消防，已通知120，如民警到场确认无需120，请电告110或120.,救援,(交通事故)
货车侧翻 人员不明 请民警到场处理。,救援,(交通事故)
路人报：轿车单车事故。没有看到司机下来 具体情况请民警到场了解处理。(已通知卫生局，如民警到场确认不用120，请自行通知120或110),救援,(交通事故)
卡车与轿车碰擦，无需救护 未撤离 报警人主驾驶的门被卡打不开（人没事）请民警到场处理。,救援,(交通事故)
货车撞电线杆，1人卡在副驾驶内出不来，(已通知120，如民警到场无需救护车，请至电110或120）,救援,(交通事故)
2集卡追尾，后车驾驶室变形，一人被卡，失去意识，请民警到场处理。已通知120，如民警到场确认无需急救车，请致电120。 已通知消防  ,救援,(交通事故)
大卡车撞伤一老人，现老人卡在车胎下，人重伤，已通知卫生局，如民警到场后确认无需救护车，请自行致电１２０或１１０。,救援,(交通事故)
过路人报：2集卡碰，人伤，称车头撞得一塌糊涂，具体不明，请民警到场处理。（已通知１２０，如民警到场确认无需１２０，请致电１２０或１１０）,救援,(交通事故)
路人报：面包车单车事故，侧翻，有人在内，可能被卡，请民警到场处理。（已通知120，如民警到场不需要，请致电120或110）,救援,(交通事故)
货车和面包车相撞，1人伤被卡面包车内，可能有生命危险，已通知消防（已通知120，如民警到场确认无需救护车，请致电120或110。）,救援,(交通事故)
上址有一辆卡车侧翻，未看见有人出来，请民警到场处理。(已通知120，如民警到场无需救护车，请至电110或120）,救援,(交通事故)
挂车撞护栏单车事故，（装货危险品：液碱，25吨）影响一车道不堵塞，请民警到场处理。,救援,(交通事故)
路人报，摩托车，搅拌车相撞，称人被压在车下，自动中断 ，请民警到场处理。(已通知120到场，如不需要救护车，请民警电告120或110),救援,(交通事故)
轿车与集卡车相撞，轿车被撞扁，人卡在车内，人数不清，请民警到场处理。（已通知120，如民警到场无需急救车，请致电120或110。）,救援,(交通事故)
"厢式货车侧翻，人还未出来（已通知120,如民警到场确认无需急救车，请致电120或110。）已通知消防（内线：22683）",救援,(交通事故)
4辆车相撞，其中一辆是公交车，报警人和母亲被困在轿车内，母亲有轻伤，（已经通知120，如不需要救护车，请致电120或110）请民警到场处理。,救援,(交通事故)
货车 电动车相撞 人可能被压 路人报 已通知卫生局，如民警到场确认致电120 ,救援,(交通事故)
2轿车、1面包车共3车相碰，2人在一轿车出不来，人伤不要救护车，请民警到场处理。 ,救援,(交通事故)
旁人：厢货，电瓶车相撞，1人伤，人在车轮下，请民警到场处理。（已通知120，如民警到场确认无需急救车，请致电120或110）,救援,(交通事故)
1辆轿车单车事故撞到隔离栏，人靠在驾驶椅上。请民警到场处理。（已通知120，如民警到场确认无需急救车，请致电120或110）（内线：22641）,救援,(交通事故)
2T卡车司机发生交通事故被卡在车内 一车离开 已通知消防,救援,(交通事故)
过路司机：卡车，面包车相撞。面包车翻车，影响2个车道，车子旁边有2人站着，人伤和被困情况不明，请民警到场处理。 （已通知120，如民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
面包车翻车，未看见人出来，请民警到场处理。（已通知120，如果民警到场确认无需救护，请联系120或者110）已通知消防（22649）,救援,(交通事故)
拉汽车的大卡车和报警人的货车相撞，大卡车上的司机被卡，请民警到场处理。（已经通知120，如不需要救护车，请致电120或110）,救援,(交通事故)
路过司机报：面包车单车事故 请民警到场处理。1人被卡 人伤 (已通知卫生局，如民警到场确认不用120，请自行通知120或110),救援,(交通事故)
2货车相撞。1人卡在车内可能不行了，（已通知卫生局，若民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
2轿车相撞。对方车辆撞到对面车道护栏上，车损严重，人没出来，请民警到场处理。（已通知120，如果民警到场确认无需救护，请联系120或者110）,救援,(交通事故)
路人报，轿车翻车，人员情况不明，请民警到场处理。（已通知120，如民警到场确认不需急救车，请致电120或110）（已经通知消防）,救援,(交通事故)
货车、轿车相撞。一人伤被卡，请民警到场处理。(已通知卫生局，如民警到场确认不用120，请自行通知120或110)已经通知消防,救援,(交通事故)
货车撞上停在路边出事故的依维柯，报警人卡在车内出不来，通话中看见依维柯驾驶员出来，头上都是血，已通知消防，120,救援,(交通事故)
2卡车和1轿车相撞。轿车司机可能不行了，并卡在车内，请民警到场处理。(已通知120，如民警到场无需救护车，请致电120或110。）已通知消防 ,救援,(交通事故)
"2轿车相撞，无人伤，现报警人2人被困车内，请民警到场处理。，已通知120,如民警到场确认无需急救车，请致电120或110。",救援,(交通事故)
搅拌车与电瓶车碰擦，1人被轧在车轮下面，请民警到场处理。（已通知卫生局，如民警到场确认不用１２０，请自行通知１２０或１１０。）,救援,(交通事故)
"路人报：1蓝色苏D宝马轿车单车事故，车头撞毁严重，安全气囊打开，无人下车，车内情况不明，车辆横在上址高速上（已通知120,如民警到场确认无需急救车，请致电120或110。）",救援,(交通事故)
2货车相撞，1人被卡，已通知消防，已通知卫生局，如民警到场后确认无需救护车，请自行致电１２０或１１０。,救援,(交通事故)
依维柯侧翻，车内1人未出来，（已经通知120，如不需要救护车，请致电120或110）请民警到场处理。,救援,(交通事故)
3辆集卡、面包车、轿车追尾，1女子被卡车内，已通知消防，请民警到场处理。（已通知120，如民警到场不需要，请致电120或110）,救援,(交通事故)
渣土车电动车相撞 人和电动车卡在车底下 昏迷，请民警到场处理。（已通知120，如民警到场无需救护车，请自行致电120或110）已通知消防,救援,(交通事故)
路人报，卡车和面包车相撞，车损严重，面包车内可能有人被困，请民警到场处理 已通知120，如到场民警反馈无需120，请致电110或120,救援,(交通事故)
轿车单车事故，轿车已经侧翻 驾驶员是否受伤不详 （已通知120，如民警到场不需要，请致电120或110）请民警到场处理。内线(22653),救援,(交通事故)
2辆轿车相撞。2人伤 。 有人被卡住，（已通知120，如民警到场不需要，请致电120或110）（已经通知消防）  ,救援,(交通事故)
2货车相撞。1人被卡，通知消防，已通知120，如民警到场确认无需救护车，请致电120或110 ,救援,(交通事故)
出租车和货车相撞 两车事故，无人伤，未撤离。 人员被卡  请民警到场处理。,救援,(交通事故)
轿车翻车，人未出来，已通知卫生局，若民警到场确认不需急救车，请致电120或110 25189,救援,(交通事故)
路人报：轿车单车事故。车内应该有人没下来。（已通知120，如民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
过路司机报警：2轿车相撞，二车司机均在车内可能受伤，现占了二根车道，请民警到场处理。22658。已通知卫生局，如民警到场后确认无需救护车，请自行致电１２０或１１０。,救援,(交通事故)
货车 面包车相撞。面包车司机卡在驾驶室内，腿部卡住，(已通知120，如民警到场无需救护车，请至电110或120）,救援,(交通事故)
2辆货车相撞。1人被卡在车内，人伤，请民警到场处理。(已通知卫生局，如民警到场确认不用120，请自行通知120或110),救援,(交通事故)
路人报：轿车车辆侧翻在中间的隔离带，人未出来，请民警到场处理。(已通知120，如民警到场无需救护车，请至电110或120）（内线：22672）,救援,(交通事故)
集卡货车追尾，1人重伤伤，被卡,救援,(交通事故)
1货车 3轿车相撞。 1货车司机被卡 请民警到场处理。（已通知卫生局，如民警到场确认不用120，请自行通知120或110）请民警到场处理。已通知消防,救援,(交通事故)
报警人经过上址看到一辆面包车侧翻在第二根车道和应急车道之间，车外无人，人伤情况不明，请民警到场处理。(已通知120到场，如不需要救护车，请民警电告120或110) ,救援,(交通事故)
2集卡相撞。1人腿被卡住，请民警到场处理。已通知卫生局，若民警到场确认不需急救车，请致电120或110,救援,(交通事故)
集装箱车被撞 腿被卡 (已通知卫生局，如民警到场确认不用120，请自行通知120或110),救援,(交通事故)
路人（已经离开）报货车（沪DK8960）疑似发生单车事故（可能避让引起，报警人听到急刹车），撞人行道旁边停放的多辆自行车，电瓶车，车头变形，司机与副驾驶人员在车内，报警人称没有看见司机或行人受伤，（已通知120，如民警到场确认无需急救车，请自行致电120或110），请民警到场处理。,救援,(交通事故)
报警人系路人，称上址有轿车侧翻，人员情况不明（已经通知120，如不需要救护车，请致电120或110）,救援,(交通事故)
渣土车和公交车相撞。司机被卡，已通知120，若民警到场无需120，请电告110或120. （22669）,救援,(交通事故)
2货车相撞，一人脚被夹住出不来，人清醒，现场已通知120，请民警到场处理。,救援,(交通事故)
轿车翻车（全翻），将电线杆撞倒下，其他不知，请民警到场处理。（已通知120，如果民警到场确认无需救护，请联系120或者110）已通知消防和电力,救援,(交通事故)
面包车单车事故。 民警到场1人被卡，需消防到场,救援,(交通事故)
一混凝土车翻在沟里，司机1人没出来，请民警到场处理。（已通知卫生局，若民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
货车 电瓶三轮车 1人伤且卡在电瓶车内动不了（已通知120，如果民警到场确认无需救护，请联系120或者110）请民警到场处理。,救援,(交通事故)
SUV与公交车（几路不清楚）碰擦，人被卡在中间出不去。人无事，请民警到场处理。 ,救援,(交通事故)
出租车和越野车相撞。1人被卡住出不来，请民警到场处理。已通知卫生局，若民警到场确认不需急救车，请致电120或110（内线：22673）（消防共同接听）,救援,(交通事故)
2轿车相撞，1人腿被卡，称无需120，请求到场处理。,救援,(交通事故)
路人报 2轿车相撞。一车逃逸（白色或银灰色 车牌不明），黑色轿车被顶到隔离带上，车内人员情况不清，报警人称肇事车子连续变了2根道，怀疑司机可能醉驾。请民警到场处理。（已经通知120，如不需要救护车，请致电120或110）,救援,(交通事故)
97路公交车压到1个行人。人未出来。（已通知120，如民警到场不需要，请致电120或110）,救援,(交通事故)
过路人报：厢式货车单车事故，车头变形，已通知１２０，如民警到场确认无需１２０，请致电１２０或１１０。人员不明，占一根道，暂不影响交通，,救援,(交通事故)
出租车单车事故，2人伤，1人被卡，（已通知１２０，如民警到场确认无需１２０，请致电１２０或１１０）,救援,(交通事故)
路人报，上址轿车翻车，其他不明，请民警到场处理。（已通知卫生局，若民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
"路人报:白色面包车单车事故,称有一人从车内飞出,现倒在路上,车内还有1人,（已通知１２０，如民警到场确认无需救护，请致电１２０或１１０）",救援,(交通事故)
事故引起，1司机被卡在驾驶座上，具体不明 (已通知120，若民警到场无需120，请电告110或120),救援,(交通事故)
反向过路司机报，看到一大卡车撞出口处的石墩，车头损坏严重，车内人员情况看不到，人伤情况不明，请民警到场处理。（已通知120，若民警到场确认不需急救车，请致电120或110。），已通知消防,救援,(交通事故)
2集卡与轿车相撞。无人伤，轿车卡住，报警人系轿车司机，现车门打不开，无法下车，请民警到场处理。,救援,(交通事故)
2货车相撞，1人被卡，伤势较重(已通知120到场，如不需要救护车，请民警电告120或110) 通知消防,救援,(交通事故)
看到集卡车 半挂车相撞。半挂车车头撞的严重，司机人伤， 副驾驶人员不明， 请民警到场处理。（已通知120，如民警到场不需要，请致电120或110） （已经通知消防） ,救援,(交通事故)
"路人报警，卡车翻车，司机没出来，人伤不明，已通知120,如民警到场确认无需急救车，请致电120或110。已通知消防",救援,(交通事故)
路面上有很多泥巴，引起3辆轿车追尾，其中出租车司机被卡车内，请民警到场处理。（已通知120，若民警到场无需120，请电告110或120.）,救援,(交通事故)
面包车、大货车相，一人脚卡在面包车内出不来，已自行联系120，请民警到场处理。,救援,(交通事故)
路人报：轿车全翻，车内人还没有出来，请民警到场处理。（已通知120，如果民警到场确认无需救护，请联系120或者110）,救援,(交通事故)
路人报上址有一大货车冲到护栏下面去了，其他不清楚，请民警到场处理。（已通知120 ，如民警到场无需救护车，请致电110或120。）,救援,(交通事故)
路人报：半挂车撞护栏，车头撞扁，人员情况不明，车外有1人，人伤情况不明，已通知消防（已通知卫生局，如民警到场后确认无需救护车，请自行致电１２０或１１０。）,救援,(交通事故)
现报警人称伤者膝盖以下都卡在车子里 原情节 轿车冲上人行道，撞到1路人，1人伤，伤势较重 此警194号19：18分已处,救援,(交通事故)
"路人报警：2卡车相撞。其他不明，请民警到场处理。已通知120,如民警到场确认无需急救车，请致电120或110。 （人员被卡） ",救援,(交通事故)
报警人在地面看到上址2辆货车相撞。1侧翻1全翻，人员不明，无东西散落。(已通知卫生局，如民警到场确认不用120，请自行通知120或110),救援,(交通事故)
交通事故导致4米多的韵达快递厢式货车侧翻 ，人员情况不清，报警人是路人，已经离开现场，（已通知120，如民警到场确认无需救护车，请及时致电120或110） ,救援,(交通事故)
普桑轿车单车事故，司机脚被卡住了出不来，人无大碍。(已通知卫生局，如民警到场确认不用120，请自行通知120或110)请民警到场处理。,救援,(交通事故)
"轿车卡车相撞 轿车内2人卡住 请民警到场处理。 （已通知120,如民警到场确认无需急救车，请致电120或110）",救援,(交通事故)
2轿车相碰。民警在场，有一车撞进隔离栏卡住，需消防到场割开隔离栏。,救援,(交通事故)
两集卡车事故 1人被卡车内 报警人到门口接 (已通知卫生局，如民警到场后确认无需救护车，请自行致电120或110)  ,救援,(交通事故)
货车撞到老人，人快不行了 （已通知120，如民警到场确认无需救护车，请及时致电120或110）,救援,(交通事故)
2集卡相撞 侧翻 人员伤亡情况不明（已通知卫生局，若民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
轿车与货车相撞，货车侧翻，人现在卡在车厢内出不来，已通知120，如民警到场确认无需急救车，请致电120，占用一根车道，请民警到场处理。,救援,(交通事故)
路人报警，面包车侧翻，内有1人没有出来，影响交通，请民警到场处理。（已通知120，如民警到场不需要，请致电120或110）,救援,(交通事故)
货车和挂车相撞。货车内2人被困，可能受伤，（已通知120，如民警到场确认不需急救车，请致电120或110），请民警到场处理。,救援,(交通事故)
轿车 SUV两车碰擦，1人伤无需救护，车辆有冒白烟情况，有漏油情况，影响一车道，有闻到焦味，请民警到场处理。 ,救援,(交通事故)
货车，出租车相碰。1人被卡在车内，人无事。,救援,(交通事故)
